question_id,question,num_tables,tables,attributes
0,"How many different countries were {transfers.player_name}'s destination clubs located in?",2,"transfers; clubs","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name"
1,"Which country appeared most often among {transfers.player_name}'s destination clubs? If tied, list all tied countries.",2,"transfers; clubs","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name"
2,"How many of {transfers.player_name}'s recorded transfers had destination clubs located in {countries.country_name}?",3,"transfers; clubs; countries","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name"
3,"List the countries of {transfers.player_name}'s destination clubs in transfer-date order.",2,"transfers; clubs","transfers.player_name; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name"
4,"What country was {transfers.player_name}'s first recorded destination club located in?",2,"transfers; clubs","transfers.player_name; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name"
5,"What country was {transfers.player_name}'s latest recorded destination club located in?",2,"transfers; clubs","transfers.player_name; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name"
6,"How many of {transfers.player_name}'s transfers were between clubs located in the same country?",2,"transfers; clubs","transfers.player_name; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name"
7,"How many of {transfers.player_name}'s transfers were between clubs located in different countries?",2,"transfers; clubs","transfers.player_name; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name"
8,"Did {transfers.player_name} ever transfer between clubs located in different countries?",2,"transfers; clubs","transfers.player_name; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name"
9,"How many times did {transfers.player_name} transfer from a club in {countries.country_name} to a club in a different country?",3,"transfers; clubs; countries","transfers.player_name; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name"
10,"During season {transfers.transfer_season}, how many different countries were {transfers.player_name}'s destination clubs located in?",2,"transfers; clubs","transfers.player_name; transfers.transfer_season; transfers.to_club_id; clubs.club_id; clubs.country_name"
11,"Which transfer season had the largest number of different destination-club countries for {transfers.player_name}? If tied, list all tied seasons.",2,"transfers; clubs","transfers.player_name; transfers.transfer_season; transfers.to_club_id; clubs.club_id; clubs.country_name"
12,"How many different continents were {transfers.player_name}'s destination clubs located in?",3,"transfers; clubs; countries","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
13,"Which continent appeared most often among {transfers.player_name}'s destination clubs? If tied, list all tied continents.",3,"transfers; clubs; countries","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
14,"How many of {transfers.player_name}'s recorded transfers had destination clubs located in Europe?",3,"transfers; clubs; countries","transfers.player_name; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
15,"List the continents of {transfers.player_name}'s destination clubs in transfer-date order.",3,"transfers; clubs; countries","transfers.player_name; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
16,"What continent was {transfers.player_name}'s first recorded destination club located in?",3,"transfers; clubs; countries","transfers.player_name; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
17,"What continent was {transfers.player_name}'s latest recorded destination club located in?",3,"transfers; clubs; countries","transfers.player_name; transfers.transfer_date; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
18,"How many of {transfers.player_name}'s transfers were between clubs located on the same continent?",3,"transfers; clubs; countries","transfers.player_name; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
19,"How many of {transfers.player_name}'s transfers were between clubs located on different continents?",3,"transfers; clubs; countries","transfers.player_name; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
20,"Did {transfers.player_name} ever transfer between clubs located on different continents?",3,"transfers; clubs; countries","transfers.player_name; transfers.from_club_id; transfers.to_club_id; clubs.club_id; clubs.country_name; countries.country_name; countries.continent"
